bank_id,centroid
1734,"c(-83.5287087031945, 37.6241396304569)"
2553,"c(-83.5311406695745, 37.6258202376939)"
5370,"c(-87.1356817603275, 38.0956262129516)"
4374,"c(-87.7610036452567, 37.1651836150242)"
2218,"c(-116.859347021123, 32.8350387188874)"
1054,"c(-76.953131, 34.962413)"
2895,"c(-82.6058740156582, 28.279593414175)"
4635,"c(-93.5107, 32.1158)"
5669,"c(-90.899608748381, 30.9923719020149)"
6604,"c(-84.4032790300533, 38.4169137132268)"
6808,"c(-81.6953458619362, 39.9856889604228)"
1105,"c(-88.958, 38.581)"
5573,"c(-81.5862139861156, 27.761987288639)"
3196,"c(-81.7213298642573, 28.1565338161463)"
555,"c(-77.9409765910412, 38.9502082535202)"
136,"c(-81.1928938158023, 28.4020731580393)"
720,"c(-91.5845, 31.3659)"
733,"c(-91.829057, 31.323149)"
785,"c(-91.829057, 31.323149)"
2512,"c(-91.596389, 31.361667)"
6637,"c(-81.473549, 31.439738)"
723,"c(-91.981643, 31.425206)"
4517,"c(-80.715101, 39.546471)"
6159,"c(-82.6262894910601, 28.9246578884164)"
6158,"c(-82.5630687988225, 28.8550838285012)"
872,"c(-81.0899, 40.6941)"
6586,"c(-88.973, 35.127)"
5394,"c(-88.962233, 35.137644)"
5317,"c(-90.9634, 39.015852)"
3641,"c(-88.540376922423, 30.5867296643853)"
2215,"c(-91.70989, 29.78466)"
711,"c(-91.668453, 32.540539)"
7253,"c(-94.0595050739437, 33.2352834656101)"
3368,"c(-91.49745, 30.85923)"
1744,"c(-91.4894, 30.8459)"
4941,"c(-94.0570047682196, 33.246589901806)"
557,"c(-77.0788188781762, 37.4371046956265)"
2005,"c(-75.64182, 39.70894)"
7259,"c(-77.791132, 34.718163)"
6051,"c(-79.693685, 35.931439)"
6453,"c(-79.74208, 35.93106)"
7031,"c(-82.750127, 35.680236)"
6956,"c(-81.85567, 36.322)"
6957,"c(-81.746285, 36.284396)"
911,"c(-81.780668, 33.307956)"
5978,"c(-76.814917, 39.223139)"
5324,"c(-123.121185351006, 45.6164489809461)"
2337,"c(-94.6728931300858, 30.1391196155743)"
1856,"c(-95.8116536570859, 32.8663173091501)"
558,"c(-77.6839292074974, 39.1818277765842)"
2217,"c(-117.056473526219, 33.1876832246099)"
2497,"c(-121.535411, 39.399127)"
2096,"c(-119.737722, 39.426833)"
4379,"c(-79.914373, 32.833432)"
2349,"c(-95.7626547425606, 29.1334464809222)"
7221,"c(-80.605814, 41.823773)"
5990,"c(-85.4975003891564, 40.0705454684331)"
6691,"c(-84.9315205128823, 38.6534940134536)"
6344,"c(-83.9647405741744, 37.8131064372395)"
899,"c(-81.266861, 37.845667)"
2025,"c(-92.5488, 35.9216)"
6110,"c(-84.007106, 36.485893)"
3483,"c(-77.9198674694605, 34.4535899545207)"
659,"c(-76.2976236463164, 36.6160602247674)"
2823,"c(-93.97106, 33.28039)"
345,"c(-92.097221, 30.80492)"
1113,"c(-88.724699, 41.827702)"
754,"c(-89.6142350733885, 30.4732140589321)"
2074,"c(-120.52316093067, 37.1926957040807)"
1055,"c(-81.6454317232053, 35.6551677301573)"
3517,"c(-96.92475, 35.64732)"
2332,"c(-117.161701463513, 32.9545645169984)"
5050,"c(-89.636800930466, 34.9150787929768)"
4857,"c(-84.1223740709768, 34.4800820121064)"
724,"c(-90.1807090205211, 33.8655428180963)"
522,"c(-83.54, 34.562778)"
7291,"c(-83.5611, 32.6918)"
1078,"c(-92.77483, 32.371211)"
4853,"c(-94.2004, 42.5162)"
58,"c(-122.77203312171, 38.3638829346047)"
7204,"c(-92.4579075771186, 38.3568690945858)"
2936,"c(-89.6140388411392, 30.321128995997)"
237,"c(-85.9976211116284, 30.3476676075207)"
755,"c(-89.5846037409347, 30.3348025920389)"
1102,"c(-89.54611506934, 30.3469233513974)"
6789,"c(-83.6121, 34.2803)"
4801,"c(-149.2, 61.544)"
6272,"c(-83.9158924034688, 39.1524236740182)"
5089,"c(-95.362, 35.544)"
7251,"c(-76.4127939416377, 36.5998663101888)"
4695,"c(-77.8159364738558, 39.0595963659244)"
60,"c(-121.981966147474, 39.1753943908593)"
712,"c(-89.909844, 30.550778)"
6641,"c(-87.9952984078814, 42.3239288399685)"
7198,"c(-90.599531, 41.244083)"
7147,"c(-121.82907346532, 37.7283891656949)"
684,"c(-93.3622, 32.7394)"
2194,"c(-93.342328, 32.773917)"
3180,"c(-75.858435, 38.413185)"
1159,"c(-76.069444, 38.436944)"
61,"c(-121.666667, 39.583333)"
559,"c(-76.3962030462214, 36.609654735362)"
6421,"c(-92.951322, 42.28861)"
4401,"c(-87.4566716314424, 33.8608525668745)"
6107,"c(-96.3363, 31.252992)"
86,"c(-120.140925554791, 37.188133080132)"
2954,"c(-118.631191, 34.136026)"
6840,"c(-89.141006, 36.265591)"
3642,"c(-86.5988170778032, 33.9741639381525)"
4534,"c(-81.635353306507, 37.1529102923732)"
5754,"c(-92.472246, 42.461164)"
5934,"c(-86.5574111674224, 35.4215664693816)"
7149,"c(-98.7491848644252, 38.4509947214455)"
4974,"c(-76.203418, 43.243971)"
5494,"c(-78.600029, 42.790677)"
7303,"c(-102.509281, 48.402347)"
4971,"c(-75.804919, 44.162877)"
5496,"c(-78.892776, 42.704297)"
4862,"c(-75.4695412426167, 43.5316181941508)"
4863,"c(-74.72517, 44.94723)"
4973,"c(-79.30071, 42.28202)"
5495,"c(-76.530413, 43.432679)"
4972,"c(-78.120162, 42.784021)"
4861,"c(-76.9825992779247, 42.4282133909229)"
5305,"c(-101.840226278896, 38.9403321670443)"
4970,"c(-76.717177, 43.184636)"
5493,"c(-79.037484, 43.223651)"
2870,"c(-84.8891516932172, 33.2658265985232)"
6150,"c(-81.760723, 34.469929)"
610,"c(-77.3422381332225, 37.7363200066625)"
6562,"c(-110.879622, 34.437804)"
2453,"c(-93.573187, 34.991967)"
3201,"c(-120.397381941233, 37.1782736149516)"
1015,"c(-83.741374, 34.759543)"
3269,"c(-80.141627, 39.837681)"
6366,"c(-89.228307, 37.790739)"
6373,"c(-81.464953, 34.542352)"
5398,"c(-94.426981, 36.170525)"
5645,"c(-78.903491, 42.933716)"
3020,"c(-82.9118112660032, 38.0411330045881)"
4741,"c(-84.05529, 38.36884)"
4369,"c(-83.3949588367307, 37.6441079383922)"
4738,"c(-84.53054, 37.558825)"
4410,"c(-83.9647405741744, 37.8131064372395)"
3021,"c(-82.9788527219091, 38.0552366689947)"
3476,"c(-85.030265397939, 37.4930988560068)"
4617,"c(-78.124741, 35.479459)"
4775,"c(-80.6411, 36.4898)"
4630,"c(-94.1746695499458, 38.9680115941675)"
5164,"c(-82.468581, 35.427243)"
5163,"c(-82.574681, 35.268789)"
5165,"c(-82.824842, 35.233364)"
858,"c(-80.901944, 41.250833)"
7183,"c(-83.762, 38.771)"
3280,"c(-80.919653, 34.433632)"
2672,"c(-123.078394075977, 38.5991920973505)"
270,"c(-81.0185501727398, 28.599197720244)"
1212,"c(-122.518780460348, 45.9007821482156)"
2246,"c(-84.344145399323, 33.6045760826838)"
2254,"c(-104.862675867914, 39.3759087636664)"
823,"c(-84.253889, 32.859167)"
1084,"c(-82.7008916463238, 27.9652144360464)"
7200,"c(-95.1088798901987, 29.2224649139672)"
611,"c(-77.3237037178643, 37.5634761596273)"
4453,"c(-90.0875442651832, 38.7432541257925)"
2174,"c(-82.1239428569348, 31.3418379363952)"
6608,"c(-81.27524, 35.483819)"
5936,"c(-83.4428, 35.2897)"
5904,"c(-78.260972, 35.27375)"
6044,"c(-77.562278, 35.183542)"
6194,"c(-78.8997, 36.2136)"
5358,"c(-76.474526, 39.496067)"
6582,"c(-77.599722, 39.467222)"
560,"c(-76.3992955702409, 36.6025971146759)"
894,"c(-82.476, 41.3459)"
1858,"c(-95.4220282767095, 32.7251591982332)"
651,"c(-77.1278569224426, 37.4579781858341)"
6680,"c(-90.850856229696, 29.8485608818917)"
5770,"c(-83.1958155093719, 29.8071897779088)"
1168,"c(-104.673035791677, 38.8889205031385)"
2680,"c(-81.359465, 31.926457)"
2853,"c(-118.41616, 34.665096)"
2764,"c(-92.9699, 41.5357)"
6172,"c(-91.29224, 42.631765)"
612,"c(-78.1100880871342, 37.7246943236978)"
6700,"c(-123.773643, 46.976961)"
7143,"c(-91.0783407781557, 29.9302612048099)"
5117,"c(-121.80735200543, 38.2943745513059)"
2906,"c(-84.4633440362749, 33.7897242880233)"
5289,"c(-84.662347, 35.681305)"
4292,"c(-93.0929936402347, 30.225678609526)"
3011,"c(-80.4573199711196, 39.9922108113839)"
2111,"c(-85.5635524523789, 32.2440883397477)"
4355,"c(-90.8874656922631, 29.8536877966885)"
6974,"c(-82.6725060896526, 35.6070724023588)"
6480,"c(-79.268671, 33.253327)"
463,"c(-84.121669, 34.356128)"
2560,"c(-84.04529, 34.39701)"
464,"c(-84.25317, 34.30947)"
4765,"c(-93.244803, 39.553058)"
4531,"c(-93.0819645515292, 39.3360523888282)"
5736,"c(-80.649853, 25.388417)"
2032,"c(-75.2945626646559, 39.3571509952915)"
3444,"c(-74.4634963111443, 39.5770583498261)"
2354,"c(-74.0538, 40.8104)"
6971,"c(-74.043885, 40.802021)"
7046,"c(-74.340659, 40.479042)"
5132,"c(-74.873714, 39.024505)"
1999,"c(-74.911447, 39.192202)"
7042,"c(-74.23084, 40.446178)"
1463,"c(-96.9182301677885, 35.6422265001715)"
4588,"c(-82.08184, 37.08493)"
429,"c(-80.4363259337984, 25.3483793395335)"
434,"c(-80.3772888459129, 25.3561893581723)"
6448,"c(-82.8485365067194, 40.5628985268462)"
2493,"c(-97.5424321353823, 31.3192374165019)"
6866,"c(-90.8586713014408, 29.8496895311134)"
1062,"c(-81.9717, 36.0669)"
132,"c(-80.9816361047621, 28.8511540366351)"
2685,"c(-84.263889, 34.535833)"
1846,"c(-83.420597, 34.028761)"
5431,"c(-119.831847, 36.987281)"
2940,"c(-99.5538502898761, 29.7998620105546)"
6543,"c(-77.6315679840916, 38.6458539893573)"
2683,"c(-90.789275, 29.434156)"
159,"c(-106.895175241382, 40.1099435281489)"
6347,"c(-83.7746, 31.7989)"
426,"c(-81.3637768026652, 29.6780832873454)"
1582,"c(-81.6454317232053, 35.6551677301573)"
80,"c(-121.068059059048, 38.2284940320649)"
5001,"c(-83.6331559560327, 36.265851157381)"
5167,"c(-87.1977392498331, 38.4310650316157)"
4586,"c(-95.6062050739716, 32.2147886236668)"
1056,"c(-77.3677264682056, 35.2521771067482)"
6563,"c(-77.94724, 38.9655)"
3284,"c(-86.8310730883502, 34.6124720955242)"
819,"c(-84.503567, 33.47095)"
1042,"c(-86.4155509476897, 34.7003524842949)"
4926,"c(-86.405306, 34.714403)"
2240,"c(-84.394444, 33.462222)"
427,"c(-82.9908586057213, 29.1838435504382)"
259,"c(-81.5124029943419, 28.3051848625172)"
2076,"c(-81.130761182704, 26.3411514512178)"
2079,"c(-81.3914546913885, 26.6819920623568)"
238,"c(-80.4182697129667, 26.0236133629131)"
5969,"c(-85.1023332532604, 40.1231988650546)"
563,"c(-77.5143314054537, 38.6387736556459)"
561,"c(-77.5958059051167, 38.6276087165733)"
562,"c(-77.5772562160356, 38.6411572468702)"
2414,"c(-77.390413, 38.050117)"
6756,"c(-81.8214578959324, 26.8099794492839)"
2181,"c(-81.6713302130577, 31.9434030354999)"
4385,"c(-80.892194, 39.42983)"
2431,"c(-90.263971, 38.363246)"
4397,"c(-93.38597, 43.66774)"
6743,"c(-84.793871, 39.626079)"
3449,"c(-92.173173, 34.628192)"
5611,"c(-85.561898223994, 38.5971117631965)"
3229,"c(-82.0668657952421, 28.2019103572266)"
1087,"c(-90.687671, 38.471774)"
1462,"c(-80.35423, 33.22092)"
3279,"c(-80.35423, 33.22092)"
2747,"c(-121.620522646304, 38.7818616728338)"
72,"c(-121.3, 37.9)"
4774,"c(-79.798056, 33.048333)"
6126,"c(-95.1323727136684, 29.2188705285142)"
3062,"c(-79.2738384124522, 36.8477507890952)"
6891,"c(-85.17523, 33.31446)"
1206,"c(-75.6716175956541, 44.1493643118599)"
7199,"c(-88.8111926811999, 42.2830584122166)"
5298,"c(-77.626059, 38.6844)"
5377,"c(-79.1780817781876, 40.2086422061915)"
925,"c(-85.6961084712565, 37.7800051087518)"
320,"c(-92.5726223598012, 30.8020889608609)"
1991,"c(-76.0321616077807, 36.3334377068883)"
1992,"c(-79.1299566960129, 35.5401710301961)"
1063,"c(-76.1581468674579, 35.9043892228655)"
898,"c(-80.95555, 41.84649)"
4956,"c(-91.07027, 29.94638)"
5729,"c(-90.977002, 29.941756)"
5694,"c(-90.963873, 29.910069)"
3407,"c(-83.11524, 40.34663)"
7288,"c(-78.548685, 35.503479)"
7260,"c(-117.328969, 33.63598)"
188,"c(-87.0259338660817, 30.5597632467816)"
257,"c(-122.654553062028, 45.1190720949008)"
2822,"c(-82.2574503777623, 26.8353413437473)"
1466,"c(-81.4974, 41.4036)"
769,"c(-88.761781354875, 30.9396838338918)"
1813,"c(-77.45, 38.6375)"
6101,"c(-95.6786303720048, 30.6576039322459)"
5279,"c(-88.553187, 35.74775)"
2500,"c(-121.123638, 38.398989)"
2513,"c(-88.702742778078, 35.7621634028091)"
4790,"c(-121.703811, 38.990437)"
2350,"c(-95.0619538441322, 30.0210086736345)"
4324,"c(-86.657010849055, 30.6954359274444)"
4959,"c(-79.4953938166422, 39.7041137663001)"
6104,"c(-85.5749095314574, 35.9241630943667)"
6192,"c(-79.512001, 36.175005)"
564,"c(-78.8979446196962, 37.8724558829815)"
6413,"c(-77.6535489783486, 38.6244741794661)"
1847,"c(-84.232131, 34.632318)"
1436,"c(-83.580965, 33.8862)"
2502,"c(-121.980876559361, 38.268943676293)"
3293,"c(-86.4756527593232, 34.6307557025999)"
4546,"c(-83.0555, 30.9608)"
2006,"c(-84.2139, 34.5394)"
6690,"c(-79.1892319956685, 37.2963586949008)"
615,"c(-77.6880109367528, 39.0765267101586)"
6577,"c(-85.5729035282324, 36.6720276625734)"
4703,"c(-80.858340389404, 33.8766732492859)"
6766,"c(-80.611781, 39.812227)"
3303,"c(-94.3948314980146, 31.0646187457416)"
6964,"c(-82.1081152927016, 39.2088614044982)"
614,"c(-80.2559536178737, 37.1894962484648)"
6447,"c(-83.0229274990918, 40.7561633486253)"
2105,"c(-88.2816085014772, 30.4104862663866)"
1182,"c(-92.9595064248565, 30.0654238486711)"
942,"c(-80.8872, 41.5363)"
6855,"c(-111.521395, 37.488212)"
895,"c(-81.730046162345, 41.1657931740672)"
616,"c(-77.8419021863869, 39.065909022145)"
1686,"c(-120.901825551466, 37.1358435834225)"
5723,"c(-95.788239, 35.53387)"
3206,"c(-92.07093, 33.08134)"
6745,"c(-70.559399, 41.795062)"
3115,"c(-149.966142941805, 61.1321982313044)"
3117,"c(-149.902182, 61.219867)"
4262,"c(-149.4417, 61.293)"
3116,"c(-149.934075603363, 61.2025698830867)"
3378,"c(-150.031989, 61.566686)"
4263,"c(-149.5061, 61.3908)"
4354,"c(-148.970115677312, 61.5562662064013)"
862,"c(-84.3417959765456, 39.7805914999835)"
4881,"c(-79.824192, 34.445537)"
2504,"c(-120.168133724227, 37.1780855492544)"
1047,"c(-77.5303306446328, 34.5677708364081)"
6258,"c(-83.2255114944298, 40.5482840093776)"
